00A YYYY.dec             Lat            Lon        Depth     cumD(cm)                 EVID                       CSID                   Mag        D(cm)
2019.8031819190767      36.03575     -120.98277   10.126      4.93401             73294650       SJBPK0_freq8-24Hz_maxdist3_coh9700   1.24      4.93401
2019.8035126839168      36.03575     -120.98277   10.126     10.04494             73294675       SJBPK0_freq8-24Hz_maxdist3_coh9700   1.30      5.11093
1998.7721564561136      36.96353     -121.59027    5.854      5.02169             30201247    SJBPK1000_freq8-24Hz_maxdist3_coh9700   1.27      5.02169
2004.4903721728901      36.96353     -121.59027    5.854     10.28489             21373474    SJBPK1000_freq8-24Hz_maxdist3_coh9700   1.35      5.26320
1993.7985048833079      36.75107     -121.43511    7.052      6.05968             30032480    SJBPK1001_freq8-24Hz_maxdist3_coh9700   1.59      6.05968
1998.6580295535261      36.75107     -121.43511    7.052     12.48582             30193743    SJBPK1001_freq8-24Hz_maxdist3_coh9700   1.69      6.42614
1998.8665434424149      36.75107     -121.43511    7.052     17.68758             40082436    SJBPK1001_freq8-24Hz_maxdist3_coh9700   1.33      5.20176
2004.4847990032383      36.75107     -121.43511    7.052     23.89127             21373036    SJBPK1001_freq8-24Hz_maxdist3_coh9700   1.63      6.20369
2004.4847131147542      36.03628     -120.62095    0.343      4.54465             21373030    SJBPK1002_freq8-24Hz_maxdist3_coh9700   1.10      4.54465
2004.4847131147542      36.03628     -120.62095    0.343      9.08929             21478458    SJBPK1002_freq8-24Hz_maxdist3_coh9700   1.10      4.54465
2006.1156594685440      36.03628     -120.62095    0.343     13.66070             21505901    SJBPK1002_freq8-24Hz_maxdist3_coh9700   1.11      4.57141
2004.4751973284760      36.58698     -121.18875    6.988     10.40040             21372292    SJBPK1003_freq8-24Hz_maxdist3_coh9700   2.51     10.40040
2008.3249414971665      36.58698     -121.18875    6.988     20.55938             40216564    SJBPK1003_freq8-24Hz_maxdist3_coh9700   2.47     10.15898
2019.7360995370370      36.58698     -121.18875    6.988     30.71835             73281360    SJBPK1003_freq8-24Hz_maxdist3_coh9700   2.47     10.15898
1998.3243090436326      36.96377     -121.58867    6.431      7.48600             30172081    SJBPK1004_freq8-24Hz_maxdist3_coh9700   1.95      7.48600
2004.4528819128213      36.96377     -121.58867    6.431     13.68969             21370673    SJBPK1004_freq8-24Hz_maxdist3_coh9700   1.63      6.20369
2008.5282237907306      36.96377     -121.58867    6.431     21.17570             40220567    SJBPK1004_freq8-24Hz_maxdist3_coh9700   1.95      7.48600
2018.3566359398783      36.96377     -121.58867    6.431     27.99045             73014896    SJBPK1004_freq8-24Hz_maxdist3_coh9700   1.79      6.81475
2004.4420504136308      35.97638     -120.52664   10.918      9.57966             21370082    SJBPK1005_freq8-24Hz_maxdist3_coh9700   2.37      9.57966
2015.6147063990361      35.97638     -120.52664   10.918     18.61303             72505316    SJBPK1005_freq8-24Hz_maxdist3_coh9700   2.27      9.03337
2004.4386205348108      35.93516     -120.48371    4.949      4.62541             21369836    SJBPK1006_freq8-24Hz_maxdist3_coh9700   1.13      4.62541
2004.4386205348108      35.93516     -120.48371    4.949      9.03857             21400869    SJBPK1006_freq8-24Hz_maxdist3_coh9700   1.05      4.41316
2004.7463855684578      35.93516     -120.48371    4.949     13.60998             21401071    SJBPK1006_freq8-24Hz_maxdist3_coh9700   1.11      4.57141
2004.7554275450314      35.93516     -120.48371    4.949     18.23539             21403510    SJBPK1006_freq8-24Hz_maxdist3_coh9700   1.13      4.62541
2004.7680213393037      35.93516     -120.48371    4.949     22.86079             21405044    SJBPK1006_freq8-24Hz_maxdist3_coh9700   1.13      4.62541
2004.8462014584597      35.93516     -120.48371    4.949     27.48620             21417374    SJBPK1006_freq8-24Hz_maxdist3_coh9700   1.13      4.62541
2004.8679066421271      35.93516     -120.48371    4.949     32.30568             21419445    SJBPK1006_freq8-24Hz_maxdist3_coh9700   1.20      4.81948
2004.8980424951933      35.93516     -120.48371    4.949     36.93108             21422393    SJBPK1006_freq8-24Hz_maxdist3_coh9700   1.13      4.62541
2004.9348822353775      35.93516     -120.48371    4.949     41.55649             21425795    SJBPK1006_freq8-24Hz_maxdist3_coh9700   1.13      4.62541
2004.9718289566890      35.93516     -120.48371    4.949     46.18190             21429022    SJBPK1006_freq8-24Hz_maxdist3_coh9700   1.13      4.62541
2005.0927251712328      35.93516     -120.48371    4.949     50.80730             21437317    SJBPK1006_freq8-24Hz_maxdist3_coh9700   1.13      4.62541
1993.8528070142061      36.55936     -121.15580    7.448      5.14103             30034298    SJBPK1007_freq8-24Hz_maxdist3_coh9700   1.31      5.14103
2004.4101956208258      36.55936     -121.15580    7.448     10.28206             21367566    SJBPK1007_freq8-24Hz_maxdist3_coh9700   1.31      5.14103
2010.7971153602232      36.55936     -121.15580    7.448     15.51445             71475951    SJBPK1007_freq8-24Hz_maxdist3_coh9700   1.34      5.23239
2016.0019642089153      36.55936     -121.15580    7.448     20.68575             72572350    SJBPK1007_freq8-24Hz_maxdist3_coh9700   1.32      5.17130
2004.4014794259765      36.97207     -121.42842    7.262      5.14103             21366739    SJBPK1008_freq8-24Hz_maxdist3_coh9700   1.31      5.14103
2018.3811580098934      36.97207     -121.42842    7.262      9.73936             73018225    SJBPK1008_freq8-24Hz_maxdist3_coh9700   1.12      4.59833
2004.3833834244081      36.57270     -121.11789    9.828      4.31072             21365324    SJBPK1009_freq8-24Hz_maxdist3_coh9700   1.01      4.31072
2004.3834122963469      36.57270     -121.11789    9.828      8.59621             21365328    SJBPK1009_freq8-24Hz_maxdist3_coh9700   1.00      4.28549
2012.8053456410646      36.31034     -120.85684    6.915      6.42614             71864235     SJBPK100_freq8-24Hz_maxdist3_coh9700   1.69      6.42614
2012.8207497533394      36.31034     -120.85684    6.915     13.40284             71869090     SJBPK100_freq8-24Hz_maxdist3_coh9700   1.83      6.97670
1994.7229185692543      36.81346     -121.53363    6.922      8.98049             30058396    SJBPK1010_freq8-24Hz_maxdist3_coh9700   2.26      8.98049
1995.4889778031456      36.81346     -121.53363    6.922     17.80417             30075890    SJBPK1010_freq8-24Hz_maxdist3_coh9700   2.23      8.82368
1996.3539156104534      36.81346     -121.53363    6.922     26.07597             30105783    SJBPK1010_freq8-24Hz_maxdist3_coh9700   2.12      8.27180
1998.3163745560630      36.81346     -121.53363    6.922     34.06144             30171853    SJBPK1010_freq8-24Hz_maxdist3_coh9700   2.06      7.98546
2004.3719365702793      36.81346     -121.53363    6.922     42.33324             21364487    SJBPK1010_freq8-24Hz_maxdist3_coh9700   2.12      8.27180
2004.3582154422181      36.59157     -121.05616    8.032      4.79126             21363585    SJBPK1011_freq8-24Hz_maxdist3_coh9700   1.19      4.79126
