00A YYYY.dec             Lat            Lon        Depth     cumD(cm)                 EVID                       CSID                   Mag        D(cm)
2019.8117373795028      36.64449     -121.26601    8.905      4.65265             73296100       SJBPK0_freq8-24Hz_maxdist3_coh9650   1.14      4.65265
2019.8167468607305      36.64449     -121.26601    8.905      9.06581             73297300       SJBPK0_freq8-24Hz_maxdist3_coh9650   1.05      4.41316
1998.9346250634196      36.65362     -121.27161    3.404      6.89525             30208542    SJBPK1000_freq8-24Hz_maxdist3_coh9650   1.81      6.89525
2004.1118040692675      36.65362     -121.27161    3.404     14.78749             21341898    SJBPK1000_freq8-24Hz_maxdist3_coh9650   2.04      7.89224
2004.1066189789517      36.52858     -121.11331    5.707      7.31223             21341304    SJBPK1001_freq8-24Hz_maxdist3_coh9650   1.91      7.31223
2011.1763507420092      36.52858     -121.11331    5.707     12.07545             71538551    SJBPK1001_freq8-24Hz_maxdist3_coh9650   1.18      4.76321
2011.1763507420092      36.23173     -120.79851    7.261      5.20176             21340156    SJBPK1002_freq8-24Hz_maxdist3_coh9650   1.33      5.20176
2005.6113994165398      36.23173     -120.79851    7.261     10.65368             21476459    SJBPK1002_freq8-24Hz_maxdist3_coh9650   1.41      5.45193
2019.8880924340435      36.23173     -120.79851    7.261     15.27909             73306831    SJBPK1002_freq8-24Hz_maxdist3_coh9650   1.13      4.62541
1995.5232491121258      37.06651     -121.89780   14.524      4.93401             30076930    SJBPK1003_freq8-24Hz_maxdist3_coh9650   1.24      4.93401
2004.0522742423093      37.06651     -121.89780   14.524     10.32229             21335585    SJBPK1003_freq8-24Hz_maxdist3_coh9650   1.39      5.38828
1995.9501270611365      36.98821     -121.46724    4.849      6.85488             30091931    SJBPK1004_freq8-24Hz_maxdist3_coh9650   1.80      6.85488
2004.0486152853673      36.98821     -121.46724    4.849     13.95556             21335190    SJBPK1004_freq8-24Hz_maxdist3_coh9650   1.86      7.10068
2004.0482368510930      36.04213     -120.61976    4.693      8.12737             21335139    SJBPK1005_freq8-24Hz_maxdist3_coh9650   2.09      8.12737
2005.2685022831051      36.04213     -120.61976    4.693     12.67201             21449098    SJBPK1005_freq8-24Hz_maxdist3_coh9650   1.10      4.54465
2006.0216476090816      36.04213     -120.61976    4.693     17.24342             21502327    SJBPK1005_freq8-24Hz_maxdist3_coh9650   1.11      4.57141
2018.0208469051242      36.04213     -120.61976    4.693     21.92347             72951016    SJBPK1005_freq8-24Hz_maxdist3_coh9650   1.15      4.68004
1995.9497219051243      36.98754     -121.46700    4.822      6.54033             30091919    SJBPK1006_freq8-24Hz_maxdist3_coh9650   1.72      6.54033
2004.0453407710991      36.98754     -121.46700    4.822     12.81730             21334840    SJBPK1006_freq8-24Hz_maxdist3_coh9650   1.65      6.27697
2014.5809748541349      36.98754     -121.46700    4.822     18.87699             72269436    SJBPK1006_freq8-24Hz_maxdist3_coh9650   1.59      6.05968
2004.0302071948997      36.02595     -120.57500    9.156      4.96307             21333130    SJBPK1007_freq8-24Hz_maxdist3_coh9650   1.25      4.96307
2004.0574138585307      36.02595     -120.57500    9.156     11.16675             21336183    SJBPK1007_freq8-24Hz_maxdist3_coh9650   1.63      6.20369
2004.0199220489274      36.46641     -121.04376    7.411      7.35529             21331640    SJBPK1008_freq8-24Hz_maxdist3_coh9650   1.92      7.35529
2010.1714258942161      36.46641     -121.04376    7.411     14.41440             71358210    SJBPK1008_freq8-24Hz_maxdist3_coh9650   1.85      7.05911
2012.4872787327970      36.46641     -121.04376    7.411     21.59896             71802780    SJBPK1008_freq8-24Hz_maxdist3_coh9650   1.88      7.18456
2014.3391002980720      36.46641     -121.04376    7.411     28.25552             72215656    SJBPK1008_freq8-24Hz_maxdist3_coh9650   1.75      6.65656
2019.9648675164890      36.46641     -121.04376    7.411     36.05562             73316401    SJBPK1008_freq8-24Hz_maxdist3_coh9650   2.02      7.80010
2004.0070245142683      35.98015     -120.53791    5.574      4.57141             21330703    SJBPK1009_freq8-24Hz_maxdist3_coh9650   1.11      4.57141
2004.0070245142683      35.98015     -120.53791    5.574      9.11605             21421138    SJBPK1009_freq8-24Hz_maxdist3_coh9650   1.10      4.54465
2004.0070245142683      35.98015     -120.53791    5.574     13.66070             21457397    SJBPK1009_freq8-24Hz_maxdist3_coh9650   1.10      4.54465
2012.8058074972171      36.31077     -120.85736    7.047      7.14250             71864420     SJBPK100_freq8-24Hz_maxdist3_coh9650   1.87      7.14250
2012.8565044082675      36.31077     -120.85736    7.047     14.16028             71878660     SJBPK100_freq8-24Hz_maxdist3_coh9650   1.84      7.01778
2015.4871328006088      36.31077     -120.85736    7.047     21.26096             72473156     SJBPK100_freq8-24Hz_maxdist3_coh9650   1.86      7.10068
1993.7562708967530      35.85834     -120.39925    4.670      4.62541             30030621    SJBPK1010_freq8-24Hz_maxdist3_coh9650   1.13      4.62541
1993.7562708967530      35.85834     -120.39925    4.670     10.47533             21326702    SJBPK1010_freq8-24Hz_maxdist3_coh9650   1.53      5.84992
2004.7499189498583      35.85834     -120.39925    4.670     16.08968             21401601    SJBPK1010_freq8-24Hz_maxdist3_coh9650   1.46      5.61436
2004.7688784532484      35.85834     -120.39925    4.670     21.77036             21405604    SJBPK1010_freq8-24Hz_maxdist3_coh9650   1.48      5.68068
2004.8332543070735      35.85834     -120.39925    4.670     27.28669             30230151    SJBPK1010_freq8-24Hz_maxdist3_coh9650   1.43      5.51633
2004.8995864640256      35.85834     -120.39925    4.670     32.96736             21422564    SJBPK1010_freq8-24Hz_maxdist3_coh9650   1.48      5.68068
2004.9896105924913      35.85834     -120.39925    4.670     37.78684             21430587    SJBPK1010_freq8-24Hz_maxdist3_coh9650   1.20      4.81948
2005.2734296042618      35.85834     -120.39925    4.670     43.30317             21449342    SJBPK1010_freq8-24Hz_maxdist3_coh9650   1.43      5.51633
2005.5537799974632      35.85834     -120.39925    4.670     48.12265             21471048    SJBPK1010_freq8-24Hz_maxdist3_coh9650   1.20      4.81948
2007.8769194571285      35.85834     -120.39925    4.670     53.73700             40205701    SJBPK1010_freq8-24Hz_maxdist3_coh9650   1.46      5.61436
1995.9427445459157      36.96078     -121.58176    5.130      6.93586             30091704    SJBPK1011_freq8-24Hz_maxdist3_coh9650   1.82      6.93586
2003.9827808536277      36.96078     -121.58176    5.130     13.95364             21325906    SJBPK1011_freq8-24Hz_maxdist3_coh9650   1.84      7.01778
2014.8688225837138      36.96078     -121.58176    5.130     20.64940             72346261    SJBPK1011_freq8-24Hz_maxdist3_coh9650   1.76      6.69576
2003.9784765664638      37.20762     -122.11764   11.445      5.17130             21324953    SJBPK1012_freq8-24Hz_maxdist3_coh9650   1.32      5.17130
2010.6539980974126      37.20762     -122.11764   11.445     10.28223             71447390    SJBPK1012_freq8-24Hz_maxdist3_coh9650   1.30      5.11093
2003.9639780568239      36.81829     -121.53765    5.762     12.77321             21323165    SJBPK1013_freq8-24Hz_maxdist3_coh9650   2.86     12.77321
2012.8352805922384      36.81829     -121.53765    5.762     25.32339             71873265    SJBPK1013_freq8-24Hz_maxdist3_coh9650   2.83     12.55018
2003.9602693429731      35.96231     -120.51540    3.320      4.46529             21322928    SJBPK1014_freq8-24Hz_maxdist3_coh9650   1.07      4.46529
2005.1329682902081      35.96231     -120.51540    3.320      9.11794             21440306    SJBPK1014_freq8-24Hz_maxdist3_coh9650   1.14      4.65265
